surah_number,ayah_number,word_number,word_number_all,uthmani,nastaleeq,indopak,dk_indopak,qpc_v1,dk_v2,dk_v1,qpc_hafs,is_ayah_marker
7,155,22,22756,'مِنَّآ ۖ','مِنَّاﵐ','مِنَّا ۚ','مِنَّاۚ','ﯲﯳ','مِنَّآۖ','مِنَّآۖ','مِنَّآۖ',0
7,155,23,22757,'إِنْ','اِنْ','اِنْ','اِنْ','ﯴ','إِنْ','إِنْ','إِنۡ',0
7,155,24,22758,'هِىَ','هِيَ','هِیَ','هِيَ','ﯵ','هِيَ','هِيَ','هِيَ',0
7,155,25,22759,'إِلَّا','اِلَّا','اِلَّا','اِلَّا','ﯶ','إِلَّا','إِلَّا','إِلَّا',0
7,155,26,22760,'فِتْنَتُكَ','فِتْنَتُكَﵧ','فِتْنَتُكَ ؕ','فِتْنَتُكَؕ','ﯷ','فِتْنَتُكَ','فِتْنَتُكَ','فِتۡنَتُكَ',0
7,155,27,22761,'تُضِلُّ','تُضِلُّ','تُضِلُّ','تُضِلُّ','ﯸ','تُضِلُّ','تُضِلُّ','تُضِلُّ',0
7,155,28,22762,'بِهَا','بِهَا','بِهَا','بِهَا','ﯹ','بِهَا','بِهَا','بِهَا',0
7,155,29,22763,'مَن','مَنْ','مَنْ','مَنْ','ﯺ','مَن','مَن','مَن',0
7,155,30,22764,'تَشَآءُ','تَشَآءُ','تَشَآءُ','تَشَا࢜ءُ','ﯻ','تَشَآءُ','تَشَآءُ','تَشَآءُ',0
7,155,31,22765,'وَتَهْدِى','وَتَهْدِيْ','وَتَهْدِیْ','وَتَهْدِيْ','ﯼ','وَتَهْدِي','وَتَهْدِي','وَتَهۡدِي',0
7,155,32,22766,'مَن','مَنْ','مَنْ','مَنْ','ﯽ','مَن','مَن','مَن',0
7,155,33,22767,'تَشَآءُ ۖ','تَشَآءُﵧ','تَشَآءُ ؕ','تَشَا࢜ءُؕ','ﯾﯿ','تَشَآءُۖ','تَشَآءُۖ','تَشَآءُۖ',0
7,155,34,22768,'أَنتَ','اَنْتَ','اَنْتَ','اَنْتَ','ﰀ','أَنتَ','أَنتَ','أَنتَ',0
